record_id,phytoplasma,host_group,country,reference,family,species
103,16SrXI A,insect,Kenya,Obura et al 2009,Cicadellidae,Maiestas banda
104,16SrXXII B,insect,West-Central Tropical Africa,de Chenon 1979,Cicadellidae,Maiestas mica
105,16SrXII A,insect,France,Boudon-Padieu & Cousins 1999,Cicadellidae,Cechenotettix quadrinotatus
106,16SrX A,insect,Germany,Krczal et al 1989,Cicadellidae,Fieberiella florii
107,16SrI A,insect,Canada,Lee et al 1998,Cicadellidae,Fieberiella florii
108,16SrIII A,insect,United States,Anthon & Wolfe 1951,Cicadellidae,Fieberiella florii
109,16SrIII A,insect,Canada,Lee et al 1998,Cicadellidae,Fieberiella florii
110,16SrIII A,insect,United States,Gilmer et al 1966,Cicadellidae,Fieberiella florii
111,16SrI B,insect,United States,Niederhauser & Cervantes 1950,Cicadellidae,Dalbulus elimatus
112,16SrI B,insect,Mexico,Kunkel 1946,Cicadellidae,Dalbulus maidis
113,16SrI C,insect,Czech Republic,Brcak 1979,Cicadellidae,Macrosteles cristatus
114,16SrIII B,insect,Czech Republic,Brcak 1979,Cicadellidae,Macrosteles cristatus
115,16SrI B,insect,Czech Republic,Brcak 1979,Cicadellidae,Macrosteles laevis
116,16SrXII ,insect,Czech Republic,Valenta et al 1961,Cicadellidae,Euscelis incisa
117,16SrXII ,insect,Czech Republic,Valenta et al 1961,Cicadellidae,Aphrodes bicinctus
118,16SrI C,insect,Czech Republic,Valenta et al 1961,Cicadellidae,Macrosteles laevis
119,16SrIII B,insect,Czech Republic,Brcak 1979,Cicadellidae,Macrosteles laevis
120,16SrXII A,insect,Erzurum,Guclu & Ozbek 1991,Cicadellidae,Macrosteles laevis
121,16SrI B,insect,Hawaii,Heu et al 2003,Cicadellidae,Macrosteles severini
122,16SrI A,insect,United States,Gilmer 1954,Cicadellidae,Macrosteles quadrilineatus
123,16SrI B,insect,California,Esau et al 1976,Cicadellidae,Macrosteles quadrilineatus
124,16SrXII A,insect,Spain,Batlle et al 2008,Cicadellidae,Macrosteles quadripunctulatus
125,tested negative,insect,Spain,Batlle et al 2008,Cicadellidae,Macrosteles quadripunctulatus
126,not characterized ,insect,Russia,Brcak 1979,Cicadellidae,Macrosteles quadripunctulatus
127,16SrI B,insect,Italy,Alma et al 2001,Cicadellidae,Scaphoideus titanus
128,16SrI B,insect,Italy,Alma et al 2001,Cicadellidae,Macrosteles quadripunctulatus
129,16SrI B,insect,Italy,Palermo et al 2001,Cicadellidae,Macrosteles quadripunctulatus
130,16SrI ,insect,United States,Hamilton 1983,Cicadellidae,Macrosteles severini
131,16SrI ,insect,Netherlands,van Slogteren & Muler 1972,Cicadellidae,Macrosteles sexnotatus
132,16SrI ,insect,Italy,Savio & Conti 1983,Cicadellidae,Macrosteles sexnotatus
133,not characterized ,insect,Japan,Kato et al 1989,Cicadellidae,Macrosteles striifrons
134,16SrI B,insect,Japan,Okuda et al 1997,Cicadellidae,Macrosteles striifrons
135,16SrI ,insect,Japan,Shiomi & Sugiura 1984,Cicadellidae,Macrosteles striifrons
136,16SrI ,insect,Japan,Shiomi & Sugiura 1984,Cicadellidae,Macrosteles fascifrons
137,tested negative,insect,Japan,Shiomi & Sugiura 1984,Cicadellidae,Macrosteles striifrons
138,tested negative,insect,Japan,Shiomi & Sugiura 1984,Cicadellidae,Macrosteles fascifrons
139,not characterized ,insect,Japan,Kato et al 1988,Cicadellidae,Macrosteles striifrons
140,16SrI C,insect,England,Frazier & Posnette 1956,Cicadellidae,Macrosteles viridigriseus
141,16SrXI B,insect,Thailand,Hanbonsoong et al 2006,Cicadellidae,Exitianus indicus
142,16SrXI B,insect,Thailand,Hanbonsoong et al 2006,Cicadellidae,Yamatotettix flavovittatus
143,16SrXI B,insect,Thailand,Hanbonsoong et al 2006,Cicadellidae,Xestocephalus sp.
144,16SrIX ,insect,Israel,Weintraub et al 2004,Cicadellidae,Neoaliturus haematoceps
145,not characterized ,insect,Israel,Weintraub et al 2004,Cicadellidae,Neoaliturus haematoceps
146,not characterized ,insect,United States,Oldfield et al 1977,Cicadellidae,Neoaliturus tenellus
147,16SrVI A,insect,United States,Shaw et al 1993,Cicadellidae,Neoaliturus tenellus
148,16SrIX ,insect,Israel,Weintraub et al 2004,Cicadellidae,Neoaliturus tenellus
149,not characterized ,insect,Israel,Weintraub et al 2004,Cicadellidae,Neoaliturus tenellus
150,not characterized ,insect,Australia,Grylls 1979,Cicadellidae,Orosius argentatus
151,16SrII C,insect,Burkina Faso,Laboucheix et al 1972,Cicadellidae,Orosius cellulosus
152,16SrII ,insect,Australia,Behncken 1984,Cicadellidae,Orosius lotophagorum
153,16SrII ,insect,Japan,Shinkai 1964,Cicadellidae,Orosius lotophagorum
154,not characterized ,insect,Iran,Salehi et al 1995,Cicadellidae,Orosius orientalis
155,not characterized ,insect,India,Nagaich et al 1974,Cicadellidae,Orosius orientalis
156,16SrIX ,insect,Israel,Weintraub et al 2004,Cicadellidae,Orosius orientalis
157,not characterized ,insect,Israel,Weintraub et al 2004,Cicadellidae,Orosius orientalis
158,16SrII E,insect,Iran,Mirzaie et al 2007,Cicadellidae,Orosius orientalis
159,16SrI B,insect,Marche,Landi et al 2013,Cicadellidae,Psammotettix striatus
160,16SrIII A,insect,United States,Gilmer et al 1966,Cicadellidae,Paraphlepsius irroratus
161,16SrI C,insect,United States,Chiykowski 1991,Cicadellidae,Paraphlepsius irroratus
162,tested negative,insect,Italy,Bressan et al 2006,Cicadellidae,Aphrodes makarovi
